knn_acc,knn_recall,svm_acc,svm_recall,mlp_acc,mlp_recall,nb_acc,nb_recall,dt_acc,dt_recall
0.999433748584372,1,0.999660249150623,1,0.999660249150623,0.997737556561086,0.995696489241223,0.916289592760181,1,1
0.999433748584372,1,0.999660249150623,1,0.999773499433749,1,0.995696489241223,0.916289592760181,1,1
0.999433748584372,1,0.999660249150623,1,0.999433748584372,0.997737556561086,0.995696489241223,0.916289592760181,1,1
0.999433748584372,1,0.999660249150623,1,0.999886749716874,1,0.995696489241223,0.916289592760181,1,1
0.999433748584372,1,0.999660249150623,1,0.999433748584372,1,0.995696489241223,0.916289592760181,1,1
0.999433748584372,1,0.999660249150623,1,0.999320498301246,0.997737556561086,0.995696489241223,0.916289592760181,1,1
0.999433748584372,1,0.999660249150623,1,0.999660249150623,1,0.995696489241223,0.916289592760181,1,1
0.999433748584372,1,0.999660249150623,1,0.999660249150623,1,0.995696489241223,0.916289592760181,1,1
0.999433748584372,1,0.999660249150623,1,0.999773499433749,1,0.995696489241223,0.916289592760181,1,1
0.999546998867497,1,0.999660249150623,1,0.999773499433749,1,0.995696489241223,0.916289592760181,1,1
,,,,,,,,,
0.999445073612684,1,0.999660249150623,1,0.999637599093998,0.999321266968326,0.995696489241223,0.916289592760181,1,1
